epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,8451.79,1.15359,1.05718,0.03389,0.02865,0.84681,0.71706,0.81438,0.58408,1.02197,1.01945,0.0422,0.02717,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8653.59,1.15299,1.05635,0.0339,0.02814,0.84833,0.71672,0.81486,0.58462,1.02183,1.01481,0.04218,0.02718,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8856.33,1.15872,1.06834,0.03366,0.02936,0.84869,0.71652,0.81509,0.58512,1.02029,1.01493,0.04217,0.02714,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9058.97,1.14285,1.05809,0.03401,0.02883,0.84891,0.71758,0.81553,0.5858,1.01932,1.01552,0.04215,0.0272,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9261.44,1.14413,1.04335,0.03399,0.028,0.84741,0.71759,0.81556,0.58571,1.01958,1.01175,0.04217,0.02704,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9463.18,1.1486,1.04956,0.03374,0.02819,0.84866,0.71797,0.81554,0.5859,1.01937,1.01073,0.04218,0.02706,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9665.11,1.14757,1.05556,0.03404,0.02855,0.85018,0.71789,0.81604,0.58628,1.01901,1.00798,0.04216,0.02701,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9867.36,1.1411,1.04295,0.03352,0.02787,0.84658,0.72065,0.81602,0.58628,1.01925,1.00725,0.04216,0.027,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10069.8,1.14025,1.0376,0.03334,0.02828,0.84967,0.71921,0.81644,0.5868,1.01937,1.00479,0.04217,0.02698,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10271.5,1.13939,1.04374,0.03358,0.02677,0.84985,0.71858,0.81682,0.58725,1.01864,1.00257,0.04215,0.02694,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10474.2,1.13626,1.03573,0.03337,0.0278,0.84778,0.72034,0.81692,0.58773,1.01766,1.00013,0.04212,0.02692,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10676.1,1.13006,1.02871,0.03401,0.02693,0.84891,0.71994,0.81709,0.5882,1.01668,0.99822,0.04211,0.02687,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10878.6,1.13043,1.02295,0.03364,0.02677,0.85163,0.71881,0.8176,0.58899,1.01613,0.99604,0.0421,0.02695,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11080.8,1.12877,1.02378,0.03392,0.0271,0.85145,0.71866,0.81765,0.58936,1.01495,0.99644,0.0421,0.02686,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11282.9,1.122,1.00698,0.03347,0.02643,0.8486,0.72088,0.81754,0.58952,1.01387,0.99751,0.04206,0.02683,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11485.1,1.12369,1.01284,0.03355,0.02575,0.8503,0.71935,0.81759,0.58967,1.01299,0.99651,0.04206,0.0269,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11687.3,1.11928,1.00608,0.03339,0.02706,0.8503,0.7182,0.81759,0.58988,1.01243,0.99613,0.04207,0.02668,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11889.6,1.12335,1.00988,0.03384,0.02741,0.85272,0.71683,0.81759,0.59009,1.01169,0.99584,0.04208,0.02645,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
