epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,81104.7,1.0716,1.17865,0.02948,0.00599,0.68078,0.55197,0.56342,0.43465,0.99996,1.96441,0.02532,0.01576,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,82324.2,1.06771,1.17299,0.02924,0.00613,0.68166,0.55346,0.56445,0.43553,0.99986,1.96441,0.02533,0.01576,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,83546.6,1.06712,1.168,0.02909,0.00597,0.68246,0.5545,0.56507,0.43583,0.99911,1.96209,0.02535,0.01574,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,84762.9,1.06492,1.16689,0.02927,0.00588,0.68309,0.55442,0.56498,0.43581,0.99813,1.96174,0.02533,0.01561,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,85982.4,1.06187,1.1614,0.02962,0.00581,0.68194,0.55506,0.56524,0.43624,0.99786,1.95672,0.02536,0.01553,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,87200.6,1.06204,1.16159,0.02965,0.00602,0.6825,0.55475,0.56525,0.43618,0.99621,1.95441,0.02536,0.01546,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,88418.8,1.05967,1.16014,0.0294,0.0058,0.68171,0.55563,0.56555,0.43658,0.99596,1.94961,0.0254,0.01557,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,89638.6,1.05588,1.14835,0.02962,0.0057,0.68454,0.55244,0.56553,0.43677,0.99468,1.94968,0.02546,0.01562,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,90858,1.05785,1.14946,0.02907,0.00583,0.68317,0.55456,0.56585,0.43716,0.99439,1.94639,0.02548,0.01557,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,92076.7,1.05477,1.14035,0.02927,0.00588,0.68337,0.55611,0.56627,0.43731,0.99336,1.94795,0.02545,0.01551,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,93297.6,1.0542,1.14004,0.02943,0.00569,0.68797,0.55403,0.56702,0.43808,0.99246,1.9472,0.02545,0.01508,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,94516.3,1.052,1.13593,0.02925,0.00584,0.68775,0.55553,0.5674,0.43832,0.99199,1.94743,0.02545,0.0153,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,95733.1,1.04658,1.12879,0.02967,0.00557,0.68741,0.5565,0.5679,0.43878,0.99138,1.95154,0.02547,0.01549,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,96950.3,1.04457,1.1261,0.02947,0.00554,0.68561,0.55741,0.56782,0.43864,0.99087,1.95231,0.0255,0.01542,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,98166.4,1.04185,1.12109,0.02959,0.00561,0.6854,0.55809,0.56805,0.439,0.99064,1.95438,0.02556,0.0153,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,99384.6,1.04038,1.11281,0.0294,0.0053,0.68633,0.55705,0.5684,0.43927,0.99055,1.95489,0.02558,0.01535,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,100604,1.0366,1.11253,0.02921,0.00525,0.68686,0.55889,0.56918,0.44002,0.98993,1.95513,0.02559,0.01543,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,101820,1.03331,1.10872,0.02944,0.00544,0.68803,0.55959,0.57005,0.44051,0.99008,1.95461,0.02558,0.01565,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,103038,1.03132,1.1017,0.02921,0.00544,0.68803,0.55998,0.57061,0.44092,0.98886,1.9592,0.02556,0.01588,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,104255,1.02613,1.0915,0.0291,0.00519,0.68901,0.56057,0.57083,0.44134,0.98732,1.95966,0.02554,0.01598,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,105475,1.02803,1.09312,0.0292,0.00517,0.69039,0.55932,0.57137,0.44181,0.98731,1.9595,0.02551,0.01572,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,106692,1.02446,1.08785,0.02929,0.00519,0.68951,0.56033,0.57194,0.44237,0.98717,1.96194,0.02546,0.01584,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,107909,1.02169,1.08296,0.0291,0.005,0.6908,0.55996,0.57189,0.44258,0.98705,1.96019,0.02541,0.01567,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,109125,1.01457,1.07185,0.02917,0.00493,0.68833,0.56205,0.57225,0.44271,0.9869,1.96217,0.02539,0.01565,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,110342,1.01551,1.07037,0.02907,0.00476,0.68835,0.56254,0.57278,0.44312,0.98699,1.96772,0.0254,0.01577,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,111511,0.97301,1.00093,0.03284,0.00531,0.68927,0.56262,0.57307,0.44349,0.98633,1.97051,0.02542,0.01556,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,112677,0.96741,0.98285,0.03314,0.0054,0.69302,0.56123,0.57334,0.44368,0.98682,1.97329,0.02545,0.01581,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,113845,0.96227,0.97823,0.03301,0.00522,0.69246,0.56248,0.57365,0.44399,0.98642,1.97144,0.02541,0.01585,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,115010,0.95821,0.97,0.03298,0.00526,0.6957,0.56176,0.57432,0.44439,0.98617,1.97113,0.0254,0.01572,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,116176,0.95334,0.95873,0.03284,0.0051,0.69491,0.56302,0.57435,0.44441,0.98489,1.9738,0.02535,0.01562,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,117342,0.94832,0.95044,0.03274,0.00512,0.69596,0.56292,0.57458,0.44463,0.98436,1.97796,0.02534,0.01567,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,118508,0.94447,0.94634,0.03281,0.00491,0.69799,0.56299,0.5752,0.44507,0.9838,1.9807,0.02534,0.01573,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,119673,0.93771,0.93262,0.03279,0.0048,0.69652,0.56465,0.57533,0.44527,0.98315,1.98609,0.02535,0.01584,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,120840,0.93382,0.92735,0.03278,0.00465,0.69507,0.56557,0.57527,0.44515,0.98277,1.99025,0.02536,0.01585,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,122004,0.93148,0.92035,0.03266,0.00465,0.69558,0.56685,0.57557,0.44534,0.98279,1.99456,0.02536,0.01581,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
