epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,8186.92,0.9257,0.6353,0.01096,0.03135,0.92983,0.82076,0.89629,0.64964,1.02919,1.01326,0.01628,0.04784,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8300.74,0.91769,0.62119,0.01106,0.03009,0.93054,0.82073,0.89626,0.65026,1.02954,1.01482,0.01628,0.04783,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8414.88,0.91981,0.62531,0.01087,0.03087,0.92968,0.82098,0.8963,0.65045,1.0308,1.01718,0.01628,0.04791,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8529.1,0.91658,0.62338,0.01094,0.0306,0.92963,0.8206,0.89645,0.65069,1.03107,1.01823,0.01629,0.0481,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8643.32,0.91443,0.62546,0.0111,0.03003,0.92994,0.82072,0.89639,0.65069,1.03132,1.02188,0.01629,0.04827,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8757.28,0.91384,0.62507,0.011,0.03075,0.93112,0.81971,0.89629,0.65048,1.03212,1.02449,0.01629,0.04825,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8871.27,0.90626,0.60651,0.01102,0.02955,0.93107,0.81958,0.89629,0.65087,1.03302,1.02859,0.01626,0.04815,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8985.54,0.9042,0.60557,0.01097,0.02831,0.93235,0.81878,0.89626,0.65116,1.03275,1.03101,0.0163,0.04827,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9099.49,0.89946,0.60213,0.01098,0.02878,0.93278,0.8186,0.89626,0.65132,1.03303,1.03482,0.01628,0.04838,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9213.39,0.8948,0.60032,0.01109,0.02843,0.93285,0.81843,0.8963,0.65152,1.03309,1.03707,0.01631,0.04862,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9327.52,0.88868,0.59172,0.01122,0.02813,0.9327,0.81882,0.89624,0.65169,1.03355,1.03859,0.0163,0.04837,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9441.65,0.8918,0.59703,0.0109,0.02888,0.9319,0.81894,0.89624,0.65217,1.03392,1.0402,0.01631,0.04844,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9555.92,0.89805,0.60723,0.01086,0.02972,0.93119,0.81907,0.89633,0.65258,1.03435,1.04492,0.01631,0.04847,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9669.82,0.88616,0.58362,0.01064,0.02767,0.93165,0.81882,0.89635,0.65242,1.03491,1.04514,0.01633,0.04853,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9783.87,0.87619,0.5791,0.01083,0.02733,0.93201,0.81864,0.89643,0.65287,1.03492,1.0466,0.01631,0.0486,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9897.92,0.87996,0.57962,0.01099,0.02748,0.93349,0.81756,0.89638,0.65267,1.03504,1.04934,0.01632,0.04866,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10011.8,0.86821,0.56692,0.01095,0.02721,0.93368,0.81752,0.89636,0.65291,1.0353,1.05088,0.01632,0.04866,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
